%time,field.data
1569683677385577784,0.274101215
1569683677385587115,3.322284845
1569683677385790948,3.521426169
1569683677385797376,6.570241291
1569683677386068643,6.560047291
1569683677386074732,8.773744237
1569683677386188256,8.716419568
1569683677386195175,6.963596772
1569683677386342794,6.900822751
1569683677386348503,5.898985509
1569683677386473255,5.823897492
1569683677386479473,4.754067997
1569683677386640871,4.675152062
1569683677386648016,3.545083955
1569683677386764823,3.475276898
1569683677386779688,2.581184119
1569683677386847481,2.576771176
1569683677386864474,2.261403948
1569683677386986892,2.261010966
1569683677386994154,1.357274424
1569683677387093612,1.235049359
1569683677387101124,-0.125656812
1569683677387194663,-0.284577687
1569683677387202114,-1.356035696
1569683677387303592,-1.548227643
1569683677387308595,-3.627839021
1569683677387414184,-3.823440309
1569683677387420250,-5.044174572
1569683677387547111,-5.201088487
1569683677387553639,-7.70915621
1569683677388257580,-7.609662251
1569683677388270709,-1.119549513
1569683677388395673,-1.020620223
1569683677388402674,1.111545339
1569683677388510484,1.145365628
1569683677388522914,1.844461591
1569683677389256343,1.862144416
1569683677389260344,2.09533144
1569683677389681126,2.022516823
1569683677389688606,0.043684446
1569683677389799443,0.043632934
1569683677389814055,-0.35481517
1569683677389920821,-0.354861028
1569683677389929486,-0.448470929
1569683677390054593,-0.504044931
1569683677390067978,-1.198377765
1569683677390241413,-1.201882832
1569683677390247977,-2.198219796
1569683677390389559,-2.200565141
1569683677390398452,-2.419817925
1569683677390544739,-2.437152956
1569683677390552102,-2.626272797
1569683677390700203,-2.633843922
1569683677390712023,-2.682427704
1569683677390842278,-2.682696469
1569683677390857117,-2.617968434
1569683677391010154,-2.617864254
1569683677391018982,-2.588837497
1569683677391106331,-2.58861132
1569683677391109643,-2.50812538
1569683677391269644,-2.501628808
1569683677391274890,-2.425428304
1569683677391403439,-2.424711288
1569683677391410100,-2.346565357
1569683677391564647,-2.34700218
1569683677391570687,-1.816385793
1569683677392224761,-1.822002697
1569683677392241030,5.353383222
1569683677392366660,5.336968752
1569683677392382003,5.447479922
1569683677393007186,5.39546219
1569683677393013369,2.099521441
1569683677393180621,2.048336118
1569683677393197132,0.55887726
1569683677393286812,0.559929959
1569683677393300642,-0.36025274
1569683677393382817,-0.365948619
1569683677393398590,-1.837954987
1569683677393551219,-2.040394413
1569683677393557802,-4.484059385
1569683677393659821,-4.507020199
1569683677393665735,-7.174325319
1569683677393779885,-7.278913873
1569683677393787998,-7.687467115
1569683677393963953,-7.675123157
1569683677393969527,-6.707426086
1569683677394130989,-6.644196414
1569683677394139206,-5.602401443
1569683677394304322,-5.603078223
